# ============================================================================
# verdict.csv — 페이지 가치 판정 (3단계) · 감사일 2026-07-14
# 분류 기준 (AdSense 심사관 관점, 실측 데이터 기반):
#  1. MERGE: 검색의도가 사실상 동일한 키워드 변형/방향쌍/부분집합 페이지 → 대표 페이지로 301 통합.
#     대표 선정: (a) 기존 cross-canonical이 이미 지정한 대상 우선, (b) 없으면 GSC 노출·본문량·상위집합 기능 기준.
#     JS 문법오류로 죽어 있는 페이지는 대표가 될 수 없음.
#  2. REWRITE: 고유 기능이지만 렌더링 후 실질 본문 텍스트(정적 DOM + ko i18n 콘텐츠 문자열) 1,000자 미만 → 자동 REWRITE 후보.
#     근거: 전체 중앙값이 1,220자에 불과하고, 1,000자 미만은 도구 UI 라벨+한줄 FAQ 수준으로
#     "검색 결과의 다른 페이지 대비 추가 가치"를 입증할 수 없음. JS 문법오류 페이지는 본문량과 무관하게 REWRITE(수리).
#  3. KEEP: 고유 기능 + 실질 본문 1,000자 이상. 단 KEEP이라도 중앙값(1,220자) 수준은 승인 안전권이 아니며
#     차별화 주석(reason)이 붙은 페이지는 title/콘텐츠 분리 작업 필요.
#  * gsc_signal은 보조 신호일 뿐 판정 기준이 아님 (전 사이트 6주간 클릭 2회·노출 628회 — 노출 자체가 형성 전 단계).
#    zero_impressions = GSC 페이지 보고서에 노출 0 (256개 페이지).
# ============================================================================
file,verdict,merge_to,content_chars,reason,gsc_signal,gsc_impressions,gsc_clicks,js_broken
about.html,KEEP,,3084,인프라 페이지 (감사 대상 외),zero_impressions,0,0,False
accessibility-color-checker.html,MERGE,color-contrast-checker.html,1004,동일 WCAG 대비 검사,impressions_no_clicks,1,0,False
acquisition-tax.html,KEEP,,2236,고유 기능 + 본문 2236자,zero_impressions,0,0,False
age-calculator.html,KEEP,,1603,글로벌 나이 계산 — korean-age와 타깃 언어 분리,impressions_no_clicks,1,0,False
ai-blog-title-generator.html,REWRITE,,817,본문 실질 텍스트 817자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-cost-calculator.html,KEEP,,1846,고유 기능 + 본문 1846자,impressions_no_clicks,1,0,False
ai-cover-letter-generator.html,REWRITE,,907,본문 실질 텍스트 907자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-email-generator.html,REWRITE,,874,본문 실질 텍스트 874자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-linkedin-post-generator.html,KEEP,,1672,고유 기능 + 본문 1672자,zero_impressions,0,0,False
ai-model-comparison.html,KEEP,,1106,고유 기능 + 본문 1106자,impressions_no_clicks,1,0,False
ai-pricing-comparison.html,MERGE,ai-model-comparison.html,1146,모델 비교와 가격 비교 동일 의도,zero_impressions,0,0,False
ai-product-description-generator.html,REWRITE,,962,본문 실질 텍스트 962자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-resume-generator.html,REWRITE,,886,본문 실질 텍스트 886자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-thumbnail-title-generator.html,REWRITE,,733,본문 실질 텍스트 733자 (<1000자 기준 미달),zero_impressions,0,0,False
ai-token-counter.html,KEEP,,1563,고유 기능 + 본문 1563자,impressions_no_clicks,3,0,False
ai-tweet-generator.html,KEEP,,2035,고유 기능 + 본문 2035자,zero_impressions,0,0,False
ai-youtube-title-generator.html,REWRITE,,839,본문 실질 텍스트 839자 (<1000자 기준 미달),impressions_no_clicks,3,0,False
alphabetizer.html,KEEP,,1333,고유 기능 + 본문 1333자,impressions_no_clicks,3,0,False
anagram-checker.html,REWRITE,,805,본문 실질 텍스트 805자 (<1000자 기준 미달),zero_impressions,0,0,False
annual-leave.html,KEEP,,1645,고유 기능 + 본문 1645자,impressions_no_clicks,1,0,False
apache-config-generator.html,KEEP,,2075,고유 기능 + 본문 2075자,zero_impressions,0,0,False
api-response-viewer.html,REWRITE,,795,본문 실질 텍스트 795자 (<1000자 기준 미달),impressions_no_clicks,8,0,False
api-tester.html,KEEP,,1107,고유 기능 + 본문 1107자,zero_impressions,0,0,False
apr-calculator.html,KEEP,,1435,고유 기능 + 본문 1435자,impressions_no_clicks,1,0,False
ascii-converter.html,KEEP,,1892,고유 기능 + 본문 1892자,zero_impressions,0,0,False
ascii-table.html,KEEP,,1032,고유 기능 + 본문 1032자,zero_impressions,0,0,False
avif-to-jpg.html,KEEP,,1162,고유 기능 + 본문 1162자,zero_impressions,0,0,False
barcode-generator.html,KEEP,,2455,고유 기능 + 본문 2455자,zero_impressions,0,0,False
base64-decoder.html,KEEP,,1771,고유 기능 + 본문 1771자,impressions_no_clicks,1,0,False
base64-encoder.html,KEEP,,1873,고유 기능 + 본문 1873자,zero_impressions,0,0,False
base64-image.html,KEEP,,1610,고유 기능 + 본문 1610자,impressions_no_clicks,2,0,False
base64-to-text.html,MERGE,base64-decoder.html,1927,동일 디코딩(자카드 0.216),impressions_no_clicks,9,0,False
base64-url.html,MERGE,base64-encoder.html,1577,"text-to-base64는 동일 기능(자카드 0.293), base64-url은 encoder의 URL-safe 모드",zero_impressions,0,0,False
bcrypt-generator.html,KEEP,,1010,고유 기능 + 본문 1010자,zero_impressions,0,0,False
bcrypt-validator.html,REWRITE,,969,본문 실질 텍스트 969자 (<1000자 기준 미달),zero_impressions,0,0,False
blur-image.html,REWRITE,,673,본문 실질 텍스트 673자 (<1000자 기준 미달) · pixelate-image와 FAQ 4/8 동일 문장 — 기능은 구분되나 콘텐츠 차별화 필수,zero_impressions,0,0,False
bmi-calc.html,KEEP,,1611,고유 기능 + 본문 1611자,impressions_no_clicks,1,0,False
bmi-calculator.html,MERGE,bmi-calc.html,2990,"동일 BMI 계산 기능, 슬러그 변형",zero_impressions,0,0,False
body-fat-calculator.html,KEEP,,1775,고유 기능 + 본문 1775자,zero_impressions,0,0,False
break-even-calculator.html,REWRITE,,867,본문 실질 텍스트 867자 (<1000자 기준 미달),zero_impressions,0,0,False
business-days-calculator.html,KEEP,,1340,글로벌 영업일 계산 — 한국판과 데이터 차별화,impressions_no_clicks,4,0,False
cagr-calculator.html,KEEP,,1029,고유 기능 + 본문 1029자,impressions_no_clicks,2,0,False
calorie-calculator.html,KEEP,,3794,고유 기능 + 본문 3794자,zero_impressions,0,0,False
canonical-tag-checker.html,KEEP,,2078,고유 기능 + 본문 2078자,zero_impressions,0,0,False
capital-gains-tax.html,KEEP,,2697,고유 기능 + 본문 2697자,impressions_no_clicks,1,0,False
case-converter.html,KEEP,,1566,고유 기능 + 본문 1566자,impressions_no_clicks,1,0,False
character-counter.html,KEEP,,1791,고유 기능 + 본문 1791자,impressions_no_clicks,1,0,False
chatgpt-token-counter.html,KEEP,,2028,GSC 노출 최다 페이지(47회) — 토큰 클러스터 중 유일하게 검색 반응 존재,impressions_no_clicks,47,0,False
cheongyak-score.html,KEEP,,2884,고유 기능 + 본문 2884자,impressions_no_clicks,3,0,False
claude-cost-estimator.html,MERGE,ai-cost-calculator.html,1331,"모델사별 쪼개기, 통합 계산기가 전 모델 포함",zero_impressions,0,0,False
color-blindness-simulator.html,REWRITE,,819,본문 실질 텍스트 819자 (<1000자 기준 미달),impressions_no_clicks,1,0,False
color-contrast-checker.html,KEEP,,1913,고유 기능 + 본문 1913자,zero_impressions,0,0,False
color-converter.html,KEEP,,1393,고유 기능 + 본문 1393자,impressions_no_clicks,2,0,False
color-palette.html,KEEP,,1614,고유 기능 + 본문 1614자,impressions_no_clicks,2,0,False
color-picker.html,KEEP,,2367,고유 기능 + 본문 2367자,impressions_no_clicks,9,0,False
commission-calculator.html,REWRITE,,832,본문 실질 텍스트 832자 (<1000자 기준 미달),impressions_no_clicks,3,0,False
compound-annual-growth-rate-calculator.html,MERGE,cagr-calculator.html,1025,"동일 CAGR 계산, 슬러그 풀네임 변형",zero_impressions,0,0,False
compound-interest.html,KEEP,,3622,고유 기능 + 본문 3622자,impressions_no_clicks,2,0,False
contact.html,KEEP,,865,인프라 페이지 (감사 대상 외),zero_impressions,0,0,False
cors-header-checker.html,KEEP,,1987,고유 기능 + 본문 1987자,zero_impressions,0,0,False
countdown-timer.html,KEEP,,1136,고유 기능 + 본문 1136자,impressions_no_clicks,2,0,False
cps-calculator.html,REWRITE,,700,본문 실질 텍스트 700자 (<1000자 기준 미달),zero_impressions,0,0,False
credit-loan-limit.html,KEEP,,1701,고유 기능 + 본문 1701자,impressions_no_clicks,12,0,False
cron-generator.html,KEEP,,1544,고유 기능 + 본문 1544자,zero_impressions,0,0,False
cron-parser.html,KEEP,,1624,고유 기능 + 본문 1624자,impressions_no_clicks,2,0,False
cron-validator.html,MERGE,cron-parser.html,1760,파싱=검증 동일 의도,zero_impressions,0,0,False
csp-generator.html,KEEP,,1687,고유 기능 + 본문 1687자,impressions_no_clicks,3,0,False
csp-validator.html,KEEP,,1709,고유 기능 + 본문 1709자,zero_impressions,0,0,False
csr-generator.html,KEEP,,1894,고유 기능 + 본문 1894자,impressions_no_clicks,2,0,False
css-beautifier.html,REWRITE,,716,본문 실질 텍스트 716자 (<1000자 기준 미달),zero_impressions,0,0,False
css-gradient-generator.html,KEEP,,1095,고유 기능 + 본문 1095자,impressions_no_clicks,2,0,False
css-minifier.html,REWRITE,,803,본문 실질 텍스트 803자 (<1000자 기준 미달),zero_impressions,0,0,False
csv-diff-checker.html,REWRITE,,774,본문 실질 텍스트 774자 (<1000자 기준 미달),impressions_no_clicks,2,0,False
csv-to-json.html,KEEP,,1234,고유 기능 + 본문 1234자,impressions_no_clicks,3,0,False
csv-viewer.html,KEEP,,1595,고유 기능 + 본문 1595자,zero_impressions,0,0,False
curl-generator.html,KEEP,,1039,고유 기능 + 본문 1039자,zero_impressions,0,0,False
curl-parser.html,REWRITE,,889,본문 실질 텍스트 889자 (<1000자 기준 미달),zero_impressions,0,0,False
currency-converter.html,KEEP,,4328,고유 기능 + 본문 4328자,impressions_no_clicks,1,0,False
date-calc.html,REWRITE,,178,본문 실질 텍스트 178자 (<1000자 기준 미달),impressions_no_clicks,1,0,False
dday.html,KEEP,,1149,고유 기능 + 본문 1149자,impressions_no_clicks,4,0,False
discount-calculator.html,REWRITE,,840,본문 실질 텍스트 840자 (<1000자 기준 미달) · 할인 계산 고유 검색수요 — percent 클러스터에서 분리 인정,impressions_no_clicks,1,0,False
dns-lookup.html,KEEP,,1687,고유 기능 + 본문 1687자,impressions_no_clicks,2,0,False
